interaction,ligand,receptor,type,classification,source
SLC17A8_GLS2->-GRM4,SLC17A8_GLS2,GRM4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC17A8_GLS2->-GRM5,SLC17A8_GLS2,GRM5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC17A8_GLS2->-GRM6,SLC17A8_GLS2,GRM6,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC17A8_GLS2->-GRM7,SLC17A8_GLS2,GRM7,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC17A8_GLS2->-GRM8,SLC17A8_GLS2,GRM8,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC18A3_CHAT->-CHRM1,SLC18A3_CHAT,CHRM1,diffusion,Signaling by Choline acetyltransferase,CellPhoneDB-v5
SLC18A3_CHAT->-CHRM2,SLC18A3_CHAT,CHRM2,diffusion,Signaling by Choline acetyltransferase,CellPhoneDB-v5
SLC18A3_CHAT->-CHRM3,SLC18A3_CHAT,CHRM3,diffusion,Signaling by Choline acetyltransferase,CellPhoneDB-v5
SLC18A3_CHAT->-CHRM4,SLC18A3_CHAT,CHRM4,diffusion,Signaling by Choline acetyltransferase,CellPhoneDB-v5
SLC18A3_CHAT->-CHRM5,SLC18A3_CHAT,CHRM5,diffusion,Signaling by Choline acetyltransferase,CellPhoneDB-v5
SLC18A3_CHAT->-CHRNA1_CHRNB1_CHRND_CHRNE,SLC18A3_CHAT,CHRNA1_CHRNB1_CHRND_CHRNE,diffusion,Signaling by Choline acetyltransferase,CellPhoneDB-v5
SLC18A3_CHAT->-CHRNA1_CHRNB1_CHRND_CHRNG,SLC18A3_CHAT,CHRNA1_CHRNB1_CHRND_CHRNG,diffusion,Signaling by Choline acetyltransferase,CellPhoneDB-v5
SLC18A3_CHAT->-CHRNA3_CHRNB4,SLC18A3_CHAT,CHRNA3_CHRNB4,diffusion,Signaling by Choline acetyltransferase,CellPhoneDB-v5
SLC18A3_CHAT->-CHRNA4_CHRNB2,SLC18A3_CHAT,CHRNA4_CHRNB2,diffusion,Signaling by Choline acetyltransferase,CellPhoneDB-v5
SLC18A3_CHAT->-CHRNA7,SLC18A3_CHAT,CHRNA7,diffusion,Signaling by Choline acetyltransferase,CellPhoneDB-v5
SLC1A1_GLS->-GRIA1,SLC1A1_GLS,GRIA1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRIA2,SLC1A1_GLS,GRIA2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRIA3,SLC1A1_GLS,GRIA3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRIA4,SLC1A1_GLS,GRIA4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRIK1,SLC1A1_GLS,GRIK1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRIK1_GRIK4,SLC1A1_GLS,GRIK1_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRIK1_GRIK5,SLC1A1_GLS,GRIK1_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRIK2,SLC1A1_GLS,GRIK2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRIK2_GRIK4,SLC1A1_GLS,GRIK2_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRIK2_GRIK5,SLC1A1_GLS,GRIK2_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRIK3,SLC1A1_GLS,GRIK3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRIK3_GRIK4,SLC1A1_GLS,GRIK3_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRIK3_GRIK5,SLC1A1_GLS,GRIK3_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRIN1_GRIN2A,SLC1A1_GLS,GRIN1_GRIN2A,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRIN1_GRIN2B,SLC1A1_GLS,GRIN1_GRIN2B,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRIN1_GRIN2C,SLC1A1_GLS,GRIN1_GRIN2C,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRIN1_GRIN2D,SLC1A1_GLS,GRIN1_GRIN2D,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRM1,SLC1A1_GLS,GRM1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRM2,SLC1A1_GLS,GRM2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRM3,SLC1A1_GLS,GRM3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRM4,SLC1A1_GLS,GRM4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRM5,SLC1A1_GLS,GRM5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRM6,SLC1A1_GLS,GRM6,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRM7,SLC1A1_GLS,GRM7,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS->-GRM8,SLC1A1_GLS,GRM8,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRIA1,SLC1A1_GLS2,GRIA1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRIA2,SLC1A1_GLS2,GRIA2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRIA3,SLC1A1_GLS2,GRIA3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRIA4,SLC1A1_GLS2,GRIA4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRIK1,SLC1A1_GLS2,GRIK1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRIK1_GRIK4,SLC1A1_GLS2,GRIK1_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRIK1_GRIK5,SLC1A1_GLS2,GRIK1_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRIK2,SLC1A1_GLS2,GRIK2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRIK2_GRIK4,SLC1A1_GLS2,GRIK2_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRIK2_GRIK5,SLC1A1_GLS2,GRIK2_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRIK3,SLC1A1_GLS2,GRIK3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRIK3_GRIK4,SLC1A1_GLS2,GRIK3_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRIK3_GRIK5,SLC1A1_GLS2,GRIK3_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRIN1_GRIN2A,SLC1A1_GLS2,GRIN1_GRIN2A,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRIN1_GRIN2B,SLC1A1_GLS2,GRIN1_GRIN2B,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRIN1_GRIN2C,SLC1A1_GLS2,GRIN1_GRIN2C,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRIN1_GRIN2D,SLC1A1_GLS2,GRIN1_GRIN2D,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRM1,SLC1A1_GLS2,GRM1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRM2,SLC1A1_GLS2,GRM2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRM3,SLC1A1_GLS2,GRM3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRM4,SLC1A1_GLS2,GRM4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRM5,SLC1A1_GLS2,GRM5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRM6,SLC1A1_GLS2,GRM6,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRM7,SLC1A1_GLS2,GRM7,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A1_GLS2->-GRM8,SLC1A1_GLS2,GRM8,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRIA1,SLC1A2_GLS,GRIA1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRIA2,SLC1A2_GLS,GRIA2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRIA3,SLC1A2_GLS,GRIA3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRIA4,SLC1A2_GLS,GRIA4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRIK1,SLC1A2_GLS,GRIK1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRIK1_GRIK4,SLC1A2_GLS,GRIK1_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRIK1_GRIK5,SLC1A2_GLS,GRIK1_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRIK2,SLC1A2_GLS,GRIK2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRIK2_GRIK4,SLC1A2_GLS,GRIK2_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRIK2_GRIK5,SLC1A2_GLS,GRIK2_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRIK3,SLC1A2_GLS,GRIK3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRIK3_GRIK4,SLC1A2_GLS,GRIK3_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRIK3_GRIK5,SLC1A2_GLS,GRIK3_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRIN1_GRIN2A,SLC1A2_GLS,GRIN1_GRIN2A,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRIN1_GRIN2B,SLC1A2_GLS,GRIN1_GRIN2B,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRIN1_GRIN2C,SLC1A2_GLS,GRIN1_GRIN2C,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRIN1_GRIN2D,SLC1A2_GLS,GRIN1_GRIN2D,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRM1,SLC1A2_GLS,GRM1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRM2,SLC1A2_GLS,GRM2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRM3,SLC1A2_GLS,GRM3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRM4,SLC1A2_GLS,GRM4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRM5,SLC1A2_GLS,GRM5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRM6,SLC1A2_GLS,GRM6,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRM7,SLC1A2_GLS,GRM7,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS->-GRM8,SLC1A2_GLS,GRM8,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRIA1,SLC1A2_GLS2,GRIA1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRIA2,SLC1A2_GLS2,GRIA2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRIA3,SLC1A2_GLS2,GRIA3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRIA4,SLC1A2_GLS2,GRIA4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRIK1,SLC1A2_GLS2,GRIK1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRIK1_GRIK4,SLC1A2_GLS2,GRIK1_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRIK1_GRIK5,SLC1A2_GLS2,GRIK1_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRIK2,SLC1A2_GLS2,GRIK2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRIK2_GRIK4,SLC1A2_GLS2,GRIK2_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRIK2_GRIK5,SLC1A2_GLS2,GRIK2_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRIK3,SLC1A2_GLS2,GRIK3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRIK3_GRIK4,SLC1A2_GLS2,GRIK3_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRIK3_GRIK5,SLC1A2_GLS2,GRIK3_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRIN1_GRIN2A,SLC1A2_GLS2,GRIN1_GRIN2A,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRIN1_GRIN2B,SLC1A2_GLS2,GRIN1_GRIN2B,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRIN1_GRIN2C,SLC1A2_GLS2,GRIN1_GRIN2C,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRIN1_GRIN2D,SLC1A2_GLS2,GRIN1_GRIN2D,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRM1,SLC1A2_GLS2,GRM1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRM2,SLC1A2_GLS2,GRM2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRM3,SLC1A2_GLS2,GRM3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRM4,SLC1A2_GLS2,GRM4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRM5,SLC1A2_GLS2,GRM5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRM6,SLC1A2_GLS2,GRM6,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRM7,SLC1A2_GLS2,GRM7,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A2_GLS2->-GRM8,SLC1A2_GLS2,GRM8,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRIA1,SLC1A3_GLS,GRIA1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRIA2,SLC1A3_GLS,GRIA2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRIA3,SLC1A3_GLS,GRIA3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRIA4,SLC1A3_GLS,GRIA4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRIK1,SLC1A3_GLS,GRIK1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRIK1_GRIK4,SLC1A3_GLS,GRIK1_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRIK1_GRIK5,SLC1A3_GLS,GRIK1_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRIK2,SLC1A3_GLS,GRIK2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRIK2_GRIK4,SLC1A3_GLS,GRIK2_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRIK2_GRIK5,SLC1A3_GLS,GRIK2_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRIK3,SLC1A3_GLS,GRIK3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRIK3_GRIK4,SLC1A3_GLS,GRIK3_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRIK3_GRIK5,SLC1A3_GLS,GRIK3_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRIN1_GRIN2A,SLC1A3_GLS,GRIN1_GRIN2A,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRIN1_GRIN2B,SLC1A3_GLS,GRIN1_GRIN2B,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRIN1_GRIN2C,SLC1A3_GLS,GRIN1_GRIN2C,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRIN1_GRIN2D,SLC1A3_GLS,GRIN1_GRIN2D,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRM1,SLC1A3_GLS,GRM1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRM2,SLC1A3_GLS,GRM2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRM3,SLC1A3_GLS,GRM3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRM4,SLC1A3_GLS,GRM4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRM5,SLC1A3_GLS,GRM5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRM6,SLC1A3_GLS,GRM6,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRM7,SLC1A3_GLS,GRM7,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS->-GRM8,SLC1A3_GLS,GRM8,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRIA1,SLC1A3_GLS2,GRIA1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRIA2,SLC1A3_GLS2,GRIA2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRIA3,SLC1A3_GLS2,GRIA3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRIA4,SLC1A3_GLS2,GRIA4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRIK1,SLC1A3_GLS2,GRIK1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRIK1_GRIK4,SLC1A3_GLS2,GRIK1_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRIK1_GRIK5,SLC1A3_GLS2,GRIK1_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRIK2,SLC1A3_GLS2,GRIK2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRIK2_GRIK4,SLC1A3_GLS2,GRIK2_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRIK2_GRIK5,SLC1A3_GLS2,GRIK2_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRIK3,SLC1A3_GLS2,GRIK3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRIK3_GRIK4,SLC1A3_GLS2,GRIK3_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRIK3_GRIK5,SLC1A3_GLS2,GRIK3_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRIN1_GRIN2A,SLC1A3_GLS2,GRIN1_GRIN2A,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRIN1_GRIN2B,SLC1A3_GLS2,GRIN1_GRIN2B,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRIN1_GRIN2C,SLC1A3_GLS2,GRIN1_GRIN2C,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRIN1_GRIN2D,SLC1A3_GLS2,GRIN1_GRIN2D,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRM1,SLC1A3_GLS2,GRM1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRM2,SLC1A3_GLS2,GRM2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRM3,SLC1A3_GLS2,GRM3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRM4,SLC1A3_GLS2,GRM4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRM5,SLC1A3_GLS2,GRM5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRM6,SLC1A3_GLS2,GRM6,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRM7,SLC1A3_GLS2,GRM7,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A3_GLS2->-GRM8,SLC1A3_GLS2,GRM8,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRIA1,SLC1A6_GLS,GRIA1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRIA2,SLC1A6_GLS,GRIA2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRIA3,SLC1A6_GLS,GRIA3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRIA4,SLC1A6_GLS,GRIA4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRIK1,SLC1A6_GLS,GRIK1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRIK1_GRIK4,SLC1A6_GLS,GRIK1_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRIK1_GRIK5,SLC1A6_GLS,GRIK1_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRIK2,SLC1A6_GLS,GRIK2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRIK2_GRIK4,SLC1A6_GLS,GRIK2_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRIK2_GRIK5,SLC1A6_GLS,GRIK2_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRIK3,SLC1A6_GLS,GRIK3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRIK3_GRIK4,SLC1A6_GLS,GRIK3_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRIK3_GRIK5,SLC1A6_GLS,GRIK3_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRIN1_GRIN2A,SLC1A6_GLS,GRIN1_GRIN2A,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRIN1_GRIN2B,SLC1A6_GLS,GRIN1_GRIN2B,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRIN1_GRIN2C,SLC1A6_GLS,GRIN1_GRIN2C,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRIN1_GRIN2D,SLC1A6_GLS,GRIN1_GRIN2D,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRM1,SLC1A6_GLS,GRM1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRM2,SLC1A6_GLS,GRM2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRM3,SLC1A6_GLS,GRM3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRM4,SLC1A6_GLS,GRM4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRM5,SLC1A6_GLS,GRM5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRM6,SLC1A6_GLS,GRM6,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRM7,SLC1A6_GLS,GRM7,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS->-GRM8,SLC1A6_GLS,GRM8,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS2->-GRIA1,SLC1A6_GLS2,GRIA1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS2->-GRIA2,SLC1A6_GLS2,GRIA2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS2->-GRIA3,SLC1A6_GLS2,GRIA3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS2->-GRIA4,SLC1A6_GLS2,GRIA4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS2->-GRIK1,SLC1A6_GLS2,GRIK1,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS2->-GRIK1_GRIK4,SLC1A6_GLS2,GRIK1_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS2->-GRIK1_GRIK5,SLC1A6_GLS2,GRIK1_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS2->-GRIK2,SLC1A6_GLS2,GRIK2,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS2->-GRIK2_GRIK4,SLC1A6_GLS2,GRIK2_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS2->-GRIK2_GRIK5,SLC1A6_GLS2,GRIK2_GRIK5,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS2->-GRIK3,SLC1A6_GLS2,GRIK3,diffusion,Signaling by Glutamate,CellPhoneDB-v5
SLC1A6_GLS2->-GRIK3_GRIK4,SLC1A6_GLS2,GRIK3_GRIK4,diffusion,Signaling by Glutamate,CellPhoneDB-v5
