interaction,ligand,receptor,type,classification,source
LRRTM3->-NRXN1,LRRTM3,NRXN1,contact,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,CellPhoneDB-v5
LRRTM3->-NRXN2,LRRTM3,NRXN2,contact,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,CellPhoneDB-v5
LRRTM3->-NRXN3,LRRTM3,NRXN3,contact,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,CellPhoneDB-v5
LRRTM4->-NRXN1,LRRTM4,NRXN1,contact,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,CellPhoneDB-v5
LRRTM4->-NRXN2,LRRTM4,NRXN2,contact,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,CellPhoneDB-v5
LRRTM4->-NRXN3,LRRTM4,NRXN3,contact,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,CellPhoneDB-v5
LRRTM4->-PTPRS,LRRTM4,PTPRS,contact,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,CellPhoneDB-v5
LTA->-TNFRSF14,LTA,TNFRSF14,diffusion,Signaling by Tumor necrosis factor,CellPhoneDB-v5
LTA->-TNFRSF1A,LTA,TNFRSF1A,diffusion,Signaling by Tumor necrosis factor,CellPhoneDB-v5
LTA->-TNFRSF1B,LTA,TNFRSF1B,diffusion,Signaling by Tumor necrosis factor,CellPhoneDB-v5
LTA4H->-GPR17,LTA4H,GPR17,diffusion,Signaling by Lipoxin/Leukotriene,CellPhoneDB-v5
LTA4H->-LTB4R,LTA4H,LTB4R,diffusion,Signaling by Lipoxin/Leukotriene,CellPhoneDB-v5
LTA4H->-LTB4R2,LTA4H,LTB4R2,diffusion,Signaling by Lipoxin/Leukotriene,CellPhoneDB-v5
LTB->-LTBR,LTB,LTBR,contact,Signaling by Lipoxin/Leukotriene,CellPhoneDB-v5
LTC4S->-CYSLTR1,LTC4S,CYSLTR1,diffusion,Signaling by Lipoxin/Leukotriene,CellPhoneDB-v5
LTC4S->-CYSLTR2,LTC4S,CYSLTR2,diffusion,Signaling by Lipoxin/Leukotriene,CellPhoneDB-v5
MDK->-ALK,MDK,ALK,diffusion,Signaling by Midkine,CellPhoneDB-v5
